"title_id","content_id","store_classification_2","store_classification_3","serialstation_classification","name"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO19","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Costa Rican Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0015","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Count Sackula Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0086","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cozy Green Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO20","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Croatian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0032","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Crocodile Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0015","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Aquaman Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0009","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Batgirl Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0006","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Batman Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0004","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Bizarro Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0005","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Brainiac Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0011","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Catwoman Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCK0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Costume Pack 1"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCK0002","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Costume Pack 2"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCK0003","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Costume Pack 3"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCK0004","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Costume Pack 4"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0012","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Green Lantern Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0010","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Harley Quinn Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0007","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Joker Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0014","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Killer Frost Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0003","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Lex Luthor Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0008","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Poison Ivy Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0017","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics SHAZAM! Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0013","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Sinestro Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0019","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Solomon Grundy Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0002","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Supergirl Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Superman Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0018","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics The Flash Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0016","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Wonder Woman Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNWBDCCO0020","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting DC Comics Zatanna Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0041","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Dalmatian Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0065","ADD-ON",NULL,"DLC","LittleBigPlanet Karting Damsel in Distress Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCK0009","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Deep Sea Adventures Costume Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0052","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Deep Sea Diver Costume"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPCOMPCO0013","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Design Competition Asian Winner Design"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPCOMPCO0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Design Competition Europe Winner Design"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPCOMPCO0004","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Design Competition Japan Winner Design"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPRCK0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Disney Princesses Costume Pack 1"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPRCK0002","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Disney Princesses Costume Pack 2"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCK0007","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Dogs Costume Pack"
